,ticker,predict,real
2024-01-02,TSLA,0.009636882379714225,-0.006638
2024-01-03,TSLA,-0.0019408729006666111,-0.026655
2024-01-04,TSLA,0.004371175176492335,-0.005517
2024-01-05,TSLA,0.0018204002098003624,0.00266
2024-01-08,TSLA,0.0008104016090334053,0.018252
2024-01-09,TSLA,0.0001541885324078592,-0.013229
2024-01-10,TSLA,0.00013408601308107504,-0.004934
2024-01-11,TSLA,0.0004844530240121904,-0.014529
2024-01-12,TSLA,0.0011214470567753709,-0.005407
2024-01-16,TSLA,0.0021166118095629406,0.022362
2024-01-17,TSLA,0.0007019345140050172,0.003211
2024-01-18,TSLA,0.0010057382835154892,-0.023054
2024-01-19,TSLA,0.0026220447656464113,0.010477
2024-01-22,TSLA,-0.0008621500747364994,-0.016301
2024-01-23,TSLA,-0.0016003296747103704,-0.010222
2024-01-24,TSLA,0.0022188524933448735,-0.019115
2024-01-25,TSLA,0.0010012092402482845,-0.037269
2024-01-26,TSLA,0.0016750967207052759,-0.012129
2024-01-29,TSLA,0.005714962537267625,0.028551
2024-01-30,TSLA,0.006442219764346822,-0.019147
2024-01-02,CZR,5.181826753634236e-05,0.026203
2024-01-03,CZR,-0.0058875099945949316,-0.040512
2024-01-04,CZR,0.0011442576106664058,-0.002443
2024-01-05,CZR,9.390808638524403e-05,0.012399
2024-01-08,CZR,-0.0009069449065677739,0.036763
2024-01-09,CZR,-0.00013105894969293714,0.005493
2024-01-10,CZR,-0.0006621819649091213,-0.00657
2024-01-11,CZR,-0.0006274505301558673,0.001775
2024-01-12,CZR,0.00023531121696438134,-0.025461
2024-01-16,CZR,0.00048450256382426277,0.016122
2024-01-17,CZR,0.000973715110596486,0.00409
2024-01-18,CZR,-0.000211136606524339,0.041173
2024-01-19,CZR,-0.0005824621080323883,0.004295
2024-01-22,CZR,-0.0002682555405696457,-0.030476
2024-01-23,CZR,-0.011428461305298343,-0.016552
2024-01-24,CZR,0.00040788259168366065,-0.052236
2024-01-25,CZR,0.0029047277934886816,-0.000223
2024-01-26,CZR,0.0023963329437395,-0.01549
2024-01-29,CZR,-0.0005130717170732852,0.024121
2024-01-30,CZR,0.0008019191353541226,-0.020792
2024-01-02,DPZ,0.000398255711991602,0.010369
2024-01-03,DPZ,0.00035859972234663403,-0.030081
2024-01-04,DPZ,0.001677600315518262,0.000973
2024-01-05,DPZ,0.0002194963214999104,5e-05
2024-01-08,DPZ,0.0002931068242647794,0.001144
2024-01-09,DPZ,0.0008481987855157075,0.021341
2024-01-10,DPZ,0.0006421099833253559,0.008818
2024-01-11,DPZ,0.00024019320454305774,-0.007185
2024-01-12,DPZ,0.00010513053920800656,-0.00645
2024-01-16,DPZ,-6.392081019844253e-05,0.02817
2024-01-17,DPZ,0.000298738027213465,-0.001159
2024-01-18,DPZ,1.6786534245113773e-05,-0.001688
2024-01-19,DPZ,0.00016919799573946354,-0.003572
2024-01-22,DPZ,5.0269814704020815e-05,0.002906
2024-01-23,DPZ,0.0005167488155379572,-0.007507
2024-01-24,DPZ,0.0002556129475464905,-0.014648
2024-01-25,DPZ,0.000973160460330897,-0.006936
2024-01-26,DPZ,0.0005081719100820466,0.002224
2024-01-29,DPZ,0.0006786441759741154,0.030945
2024-01-30,DPZ,0.00022955668239412586,0.003045
2024-01-02,LULU,0.0004479428480047621,-0.006272
2024-01-03,LULU,0.0004774022211699178,-0.007711
