,ticker,predict,real,sector
2024-01-02,TSLA,0.002613430660031704,-0.006638,Consumer_Discretionary
2024-01-03,TSLA,0.0007551458402335648,-0.026655,Consumer_Discretionary
2024-01-04,TSLA,0.0014491789461705054,-0.005517,Consumer_Discretionary
2024-01-05,TSLA,0.0008225909784318419,0.00266,Consumer_Discretionary
2024-01-08,TSLA,0.00027015942454850173,0.018252,Consumer_Discretionary
2024-01-09,TSLA,0.0001869018103666599,-0.013229,Consumer_Discretionary
2024-01-10,TSLA,0.00020061824889990008,-0.004934,Consumer_Discretionary
2024-01-11,TSLA,0.0002008150899491056,-0.014529,Consumer_Discretionary
2024-01-12,TSLA,0.0002900077090889647,-0.005407,Consumer_Discretionary
2024-01-16,TSLA,0.0007965315663181077,0.022362,Consumer_Discretionary
2024-01-17,TSLA,0.0006018896740895124,0.003211,Consumer_Discretionary
2024-01-18,TSLA,0.0006040855413661112,-0.023054,Consumer_Discretionary
2024-01-19,TSLA,0.0005727777944703208,0.010477,Consumer_Discretionary
2024-01-22,TSLA,0.0005178124718125378,-0.016301,Consumer_Discretionary
2024-01-23,TSLA,0.00035431357550730146,-0.010222,Consumer_Discretionary
2024-01-24,TSLA,0.00021495892315877185,-0.019115,Consumer_Discretionary
2024-01-25,TSLA,0.0002920162896509344,-0.037269,Consumer_Discretionary
2024-01-26,TSLA,0.0021447598606680065,-0.012129,Consumer_Discretionary
2024-01-29,TSLA,0.0017167529763540224,0.028551,Consumer_Discretionary
2024-01-30,TSLA,0.0009748416631730112,-0.019147,Consumer_Discretionary
2024-01-02,CZR,0.0002346540824962954,0.026203,Consumer_Discretionary
2024-01-03,CZR,0.00024171750801147768,-0.040512,Consumer_Discretionary
2024-01-04,CZR,0.0007110986282418006,-0.002443,Consumer_Discretionary
2024-01-05,CZR,0.000822392570753908,0.012399,Consumer_Discretionary
2024-01-08,CZR,0.0002724996800703989,0.036763,Consumer_Discretionary
2024-01-09,CZR,0.0001845342734426992,0.005493,Consumer_Discretionary
2024-01-10,CZR,0.00014888842064345048,-0.00657,Consumer_Discretionary
2024-01-11,CZR,0.00012409695060161454,0.001775,Consumer_Discretionary
2024-01-12,CZR,0.00020759828621212908,-0.025461,Consumer_Discretionary
2024-01-16,CZR,0.0003114218799787788,0.016122,Consumer_Discretionary
2024-01-17,CZR,0.0006485409001042937,0.00409,Consumer_Discretionary
2024-01-18,CZR,0.00024118144747875995,0.041173,Consumer_Discretionary
2024-01-19,CZR,0.0002312682677997752,0.004295,Consumer_Discretionary
2024-01-22,CZR,0.00010982819565593837,-0.030476,Consumer_Discretionary
2024-01-23,CZR,0.00012481194417689374,-0.016552,Consumer_Discretionary
