,ticker,predict,real
2024-01-02,CARR,0.00023140924155581611,-0.007734
2024-01-03,CARR,-7.518503463288055e-05,-0.018942
2024-01-04,CARR,0.00036958254493161337,0.008177
2024-01-05,CARR,0.0003169620024808442,0.000539
2024-01-08,CARR,0.0004927833861932564,0.0075
2024-01-09,CARR,0.00015988313984667858,0.014467
2024-01-10,CARR,-0.00019450285196069195,0.00511
2024-01-11,CARR,0.0004026205498331982,-0.000879
2024-01-12,CARR,0.0007164495503733689,-0.017501
2024-01-16,CARR,9.458228044917838e-05,0.005401
2024-01-17,CARR,0.0006184363700557808,-0.006496
2024-01-18,CARR,0.0002471770596553168,0.000542
2024-01-19,CARR,0.0004874047819792095,0.009758
2024-01-22,CARR,0.0004572298067296107,0.002849
2024-01-23,CARR,-0.00013227418985417436,-0.010267
2024-01-24,CARR,-0.00016362766122601376,-0.023276
2024-01-25,CARR,0.002318814215761478,0.012224
2024-01-26,CARR,0.0015993333565413389,-0.015606
2024-01-29,CARR,-0.0005005508568232494,0.012952
2024-01-30,CARR,0.0005201085267858123,0.007692
2024-01-02,VLTO,0.00018560718345629604,-0.000986
2024-01-03,VLTO,-3.0483843129433918e-05,-0.031638
2024-01-04,VLTO,0.0007489004201179322,-0.010846
2024-01-05,VLTO,-0.0006728593151843591,0.003785
2024-01-08,VLTO,0.0012356227210672044,0.0136
2024-01-09,VLTO,0.0012693375826733047,-0.009806
2024-01-10,VLTO,9.359401943645181e-05,0.000393
2024-01-11,VLTO,0.00037702282994124233,-0.004188
2024-01-12,VLTO,0.0006588086939106375,-0.005905
2024-01-16,VLTO,0.00011942225982562153,0.002555
2024-01-17,VLTO,4.384086353769624e-05,0.018934
2024-01-18,VLTO,0.00068611056017117,0.002242
2024-01-19,VLTO,0.00020102201942612087,0.022143
2024-01-22,VLTO,0.0008959934126544093,0.02614
2024-01-23,VLTO,-0.0004666774058448204,-0.02
2024-01-24,VLTO,-2.4319689127288568e-05,-0.040755
2024-01-25,VLTO,-0.0019245488209556558,0.00327
2024-01-26,VLTO,-7.339654841806481e-05,-0.001038
2024-01-29,VLTO,0.004757786883294323,0.016573
2024-01-30,VLTO,0.0014500173408940407,0.007589
2024-01-02,PAYC,4.7569535328997105e-05,-0.001805
2024-01-03,PAYC,0.0002529193455097647,-0.035323
2024-01-04,PAYC,0.0010111830861435115,0.004858
2024-01-05,PAYC,0.001887923648929751,0.021344
2024-01-08,PAYC,6.246211095837316e-05,0.034301
2024-01-09,PAYC,0.0015402933133278223,0.005099
2024-01-10,PAYC,-0.0006168286059144947,-0.01179
2024-01-11,PAYC,-0.0004110961431797084,-0.013204
2024-01-12,PAYC,0.0016812496722158436,-0.011656
2024-01-16,PAYC,-8.15820060347249e-05,-0.00653
2024-01-17,PAYC,0.0011715774084705502,-0.005022
2024-01-18,PAYC,0.00011558311974183252,0.006793
2024-01-19,PAYC,0.0012945901173883397,-0.010478
2024-01-22,PAYC,8.933455919502401e-05,-0.002453
2024-01-23,PAYC,0.001069469077372797,-0.004542
2024-01-24,PAYC,-0.0010766646637080776,-0.028821
2024-01-25,PAYC,0.0023640908527922952,-0.009403
2024-01-26,PAYC,0.00177762864429914,-0.00067
2024-01-29,PAYC,0.0011075650480881528,0.016288
2024-01-30,PAYC,0.0007058526135904583,0.005244
2024-01-02,URI,0.0002709563563180304,-0.003006
2024-01-03,URI,0.0015676336038724307,-0.016925
2024-01-04,URI,-0.0007710212076865172,-0.000401
2024-01-05,URI,0.0010445803248285005,0.007818
2024-01-08,URI,-0.0012008940636159008,0.022593
2024-01-09,URI,0.0008345863181935502,0.008743
2024-01-10,URI,-3.262520000565854e-05,0.001293
2024-01-11,URI,0.000694017048195731,0.003675
2024-01-12,URI,0.00034628938232401853,0.002025
2024-01-16,URI,3.0156314049864883e-05,0.01654
2024-01-17,URI,0.0005536537672900998,-0.007878
2024-01-18,URI,0.001001959748935049,0.011418
2024-01-19,URI,0.0008329546450320749,0.009209
2024-01-22,URI,3.0516370144004703e-06,0.005262
2024-01-23,URI,-0.00039291820879840865,-0.008048
2024-01-24,URI,-0.0002949558658540783,-0.017156
2024-01-25,URI,0.00037274701442445955,0.07028
2024-01-26,URI,-0.002099884395694751,-0.034074
2024-01-29,URI,0.0034926892021549705,0.02193
2024-01-30,URI,0.001666701596363013,0.001526
2024-01-02,AXON,0.00020706945952057195,-0.01116
2024-01-03,AXON,0.00026251816897886735,-0.012728
2024-01-04,AXON,0.0005197473003984892,-0.010104
2024-01-05,AXON,-0.00025544482770674387,-0.001186
2024-01-08,AXON,0.0003173185988074546,0.02929
2024-01-09,AXON,0.00038518784198639954,0.002495
2024-01-10,AXON,0.0010135818249615786,-0.00384
2024-01-11,AXON,-6.601584429453786e-05,-0.001081
2024-01-12,AXON,0.0005702995403766294,-0.000478
2024-01-16,AXON,0.0001215105863447595,-0.003236
2024-01-17,AXON,4.3878153933844115e-06,0.013718
2024-01-18,AXON,0.00047804514920845085,0.012109
2024-01-19,AXON,0.0006544927789937052,0.007099
