Feature,Importance
deviation,0.0013005711470085355
volatility_prev_day,0.0008623470295553307
weekly_return,0.0006454132524338485
daily_return_3,0.00026337734964603193
daily_return_2,0.00016822229999890746
daily_return_1,0.00016073687036619397
day_of_week,4.4338275466464595e-05
